status,sources,category,title,summary,description,value,tags,link,query,contact,identifier
1,sunshot,Building Operations Data,One year occupant behavior/environment data for medium U.S. office,"One year of longitudinal data (fifteen minute interval) on local thermal conditions, related behaviors, and comfort of twenty-four occupants of a medium-sized office building in Philadelphia, PA.  Raw data in TXT format.",,,txt,http://en.openei.org/datasets/dataset/one-year-behavior-environment-data-for-medium-office,,Jared Langevin,
1,sunshot,Building Operations Data,Long-term electricity and gas consumption for LBNL Building 74,15 minute electricity and 5 minute natural gas consumption data for Building 74 on the Lawrence Berkeley National Lab campus. Raw data in XLSX format,,,xlsx,http://en.openei.org/datasets/dataset/lbnl-building-74,,,
1,sunshot,Building Operations Data,Long-term energy/environment data for ORNL Research House # 3,"Oak Ridge National Laboratory, Building Technologies Research and Integration Center, Campbell Creek Research House #3 data for 2013-2014. Contains end use breakdowns of energy use and various indoor environmental conditions collected at a 15 minute time stamp.  Raw data in XLSX format.",,,xlsx,http://en.openei.org/datasets/dataset/ornl-research-house-3,,,
1,sunshot,Building Operations Data,Long-term energy consumption & outdoor air temperature for 11 commercial buildings,Hourly energy consumption and outdoor air temperature data for 11 commercial buildings (office/retail).  Raw data in CSV format.,,,csv,http://en.openei.org/datasets/dataset/consumption-outdoor-air-temperature-11-commercial-buildings,,,
1,sunshot,Building Operations Data,ENERNOC 2012 Commercial Energy Consumption Data,"5-minute electricity consumption for 100 anonymized commercial and industrial sites. Metadata includes randomized lat/lng, facility square footage and industry. Raw data in GreenButton and CSV formats.",,,"csv, green button",http://open.enernoc.com/data/,,,
1,sunshot,Building Operations Data,OpenBMS ,BMS data (energy/environment) for various buildings on the UC-Berkeley campus.  Data may be downloaded in CSV format or accessed via an API.  Further documentation at http://www.cs.berkeley.edu/~stevedh/smap2/intro.html#front-ends.,,,"csv, api",http://new.openbms.org/,,,
1,sunshot,Building Operations Data,GSA Energy Usage Analysis System,"The EUAS application is a web based system which serves Energy Center of Expertise, under the Office of Facilitates Management and Service Programs. EUAS is used for tracking energy details for various energy sources namely electricity, natural gas, oil, chilled water, steam and renewable energy.  Contains monthly energy consumption data as well as Heating and Cooling degree data from associated weather stations, in XLSX format.",,,xlsx,http://www.gsa.gov/dg/EUAS.zip,,,
1,sunshot,Building Stock & Energy Data,Buildings Energy Data Book,"The Data Book includes statistics on residential and commercial building energy consumption. Data tables contain statistics related to construction, building technologies, energy consumption, and building characteristics.",,,xlsx,http://buildingsdatabook.eren.doe.gov,,,
1,sunshot,Developer Resources,EIA Data API,"Access projected residential/commercial building stock and energy consumption (down to end use and technology type) for EIA Annual Energy Outlook, 2009-2040",,,api,http://www.eia.gov/beta/api/,,,
1,sunshot,Developer Resources,OpenEIS,Hosts open access algorithms for application to one's own building operations data,,,platform,https://github.com/VOLTTRON/openeis,,,
